01/02/1952	76
01/03/1952	105.7
01/04/1952	147.9
01/05/1952	234.8
01/06/1952	24.2
01/07/1952	23
01/08/1952	33.4
01/09/1952	29.1
01/10/1952	117.8
01/11/1952	81.7
01/12/1952	82.7
01/01/1953	59.7
01/02/1953	34.7
01/03/1953	87.1
01/04/1953	154.2
01/05/1953	189.3
01/06/1953	53.6
01/07/1953	34.9
01/08/1953	16.6
01/09/1953	92.9
01/10/1953	283.3
01/11/1953	201
01/12/1953	68.7
01/01/1954	38
01/02/1954	41
01/03/1954	109.6
01/04/1954	189.9
01/05/1954	157.5
01/06/1954	173.1
01/07/1954	93.4
01/08/1954	20
01/09/1954	16.8
01/10/1954	171.3
01/11/1954	91.5
01/12/1954	83.4
01/01/1955	112.5
01/02/1955	67.2
01/03/1955	125
01/04/1955	193.8
01/05/1955	76.8
01/06/1955	120.5
01/07/1955	76.8
01/08/1955	17.6
01/09/1955	57.4
01/10/1955	124.7
01/11/1955	90.4
01/12/1955	164.4
01/01/1956	108.9
01/02/1956	85.5
01/03/1956	44.7
01/04/1956	155.8
01/05/1956	88.5
01/06/1956	72.5
01/07/1956	16.2
01/08/1956	30.5
01/09/1956	131.4
01/10/1956	131
01/11/1956	77
01/12/1956	78.5
01/01/1957	36.6
01/02/1957	142.2
01/03/1957	113.5
01/04/1957	160.1
01/05/1957	179.9
01/06/1957	22.6
01/07/1957	14.2
01/08/1957	2.6
01/09/1957	20.8
01/10/1957	173.3
01/11/1957	75
01/12/1957	65
01/01/1958	17.4
01/02/1958	37.1
01/03/1958	62.2
01/04/1958	183.9
01/05/1958	143.5
01/06/1958	12
01/07/1958	8.6
01/08/1958	28.3
01/09/1958	28
01/10/1958	43.1
01/11/1958	58.8
01/12/1958	107.6
01/01/1959	30.7
01/02/1959	27.2
01/03/1959	17.8
01/04/1959	67.2
01/05/1959	297.7
01/06/1959	71.5
01/07/1959	22.1
01/08/1959	37
01/09/1959	32.1
01/10/1959	182.1
01/11/1959	83.9
01/12/1959	63.5
01/01/1960	124.3
01/02/1960	62.8
01/03/1960	97.6
01/04/1960	275
01/05/1960	115.6
01/06/1960	109
01/07/1960	36
01/08/1960	24.7
01/09/1960	70.7
01/10/1960	193.5
01/11/1960	85.7
01/12/1960	78.4
01/01/1961	78
01/02/1961	5
01/03/1961	46.2
01/04/1961	154.9
01/05/1961	11.1
01/06/1961	84.5
01/07/1961	45.4
01/08/1961	26.5
01/09/1961	24.2
01/10/1961	324.2
01/11/1961	101.6
01/12/1961	63.6
01/01/1962	73.6
01/02/1962	67.9
01/03/1962	217
01/04/1962	138.7
01/05/1962	134.2
01/06/1962	35.8
01/07/1962	15.8
01/08/1962	28.1
01/09/1962	69.5
01/10/1962	154.7
01/11/1962	71
01/12/1962	35
01/01/1963	41.2
01/02/1963	159.7
01/03/1963	69.2
01/04/1963	103.1
01/05/1963	109.7
01/06/1963	113.5
01/07/1963	98.5
01/08/1963	30.2
01/09/1963	46.2
01/10/1963	49.9
01/11/1963	138.6
01/12/1963	67.7
01/01/1964	36.1
01/02/1964	66.1
01/03/1964	28.6
01/04/1964	158.7
01/05/1964	63
01/06/1964	214.6
01/07/1964	26
01/08/1964	40.7
01/09/1964	36.8
01/10/1964	94.5
01/11/1964	101.1
01/12/1964	43.8
01/01/1965	84.9
01/02/1965	42.5
01/03/1965	60.2
01/04/1965	359
01/05/1965	69.7
01/06/1965	33.3
01/07/1965	23.1
01/08/1965	32
01/09/1965	57.7
01/10/1965	106.6
01/11/1965	106.9
01/12/1965	36.3
01/01/1966	9.4
01/02/1966	15.3
01/03/1966	54.2
01/04/1966	116.3
01/05/1966	187.5
01/06/1966	71.7
01/07/1966	23.6
01/08/1966	40.7
01/09/1966	21.3
01/10/1966	115.8
01/11/1966	99.5
01/12/1966	124
01/01/1967	18.8
01/02/1967	95.1
01/03/1967	84
01/04/1967	95.5
01/05/1967	189.7
01/06/1967	68.5
01/07/1967	35.8
01/08/1967	33.5
01/09/1967	84.5
01/10/1967	119.6
01/11/1967	66.4
01/12/1967	50.7
01/01/1968	26.7
01/02/1968	75.5
01/03/1968	83.5
01/04/1968	126.5
01/05/1968	125.9
01/06/1968	121.9
01/07/1968	36.8
01/08/1968	67.2
01/09/1968	154.4
01/10/1968	146.1
01/11/1968	80.6
01/12/1968	38.4
01/01/1969	110
01/02/1969	16
01/03/1969	147.1
01/04/1969	182.1
01/05/1969	140
01/06/1969	76.3
01/07/1969	5.6
01/08/1969	7.6
01/09/1969	88.8
01/10/1969	207.7
01/11/1969	74.2
01/12/1969	16.5
01/01/1970	69.5
01/02/1970	83.6
01/03/1970	104.1
01/04/1970	34
01/05/1970	117.2
01/06/1970	105
01/07/1970	16.2
01/08/1970	27.5
01/09/1970	63.9
01/10/1970	199.8
01/11/1970	75.8
01/12/1970	52
01/01/1971	176
01/02/1971	93.4
01/03/1971	255.8
01/04/1971	103.7
01/05/1971	245.9
01/06/1971	46.3
01/07/1971	41
01/08/1971	90.8
01/09/1971	94.9
01/10/1971	50.8
01/11/1971	188
01/12/1971	44.3
01/01/1972	108.2
01/02/1972	96.1
01/03/1972	94.3
01/04/1972	123.8
01/05/1972	77.3
01/06/1972	61
01/07/1972	13.4
01/08/1972	113.2
01/09/1972	70.9
01/10/1972	58.4
01/11/1972	141.5
01/12/1972	29.8
01/01/1973	11.9
01/02/1973	36.3
01/03/1973	75.8
01/04/1973	138.8
01/05/1973	107.2
01/06/1973	61.9
01/07/1973	45.7
01/08/1973	91.7
01/09/1973	88.5
01/10/1973	152.7
01/11/1973	118.3
01/12/1973	99.9
01/01/1974	78.5
01/02/1974	147.7
01/03/1974	83.1
01/04/1974	154.2
01/05/1974	124.7
01/06/1974	53.5
01/07/1974	15.1
01/08/1974	21.7
01/09/1974	107.9
01/10/1974	71
01/11/1974	175.3
01/12/1974	53.3
01/01/1975	37.8
01/02/1975	120.1
01/03/1975	194.6
01/04/1975	59
01/05/1975	129.5
01/06/1975	38.4
01/07/1975	93.4
01/08/1975	93.9
01/09/1975	91.4
01/10/1975	263.2
01/11/1975	129
01/12/1975	201.1
01/01/1976	42.4
01/02/1976	75.1
01/03/1976	116.5
01/04/1976	81.7
01/05/1976	141
01/06/1976	16.2
01/07/1976	6.9
01/08/1976	3.7
01/09/1976	1.2
01/10/1976	226.3
01/11/1976	41
01/12/1976	48.6
01/01/1977	17.2
01/02/1977	8.3
01/03/1977	79
01/04/1977	87
01/05/1977	63.9
01/06/1977	73.3
01/07/1977	31.2
01/08/1977	102.2
01/09/1977	87.3
01/10/1977	151.8
01/11/1977	91.4
01/12/1977	111
01/01/1978	75.7
01/02/1978	35.1
01/03/1978	66.4
01/04/1978	282.4
01/05/1978	133.5
01/06/1978	16.3
01/07/1978	39.2
01/08/1978	25.8
01/09/1978	89.5
01/10/1978	111.2
01/11/1978	107.9
01/12/1978	109.8
01/01/1979	31.1
01/02/1979	10.2
01/03/1979	122.7
01/04/1979	131.9
01/05/1979	164.5
01/06/1979	59.3
01/07/1979	52
01/08/1979	101.1
01/09/1979	117.1
01/10/1979	81.6
01/11/1979	111.1
01/12/1979	20.2
01/01/1980	36.2
